sku_id,lead_time_days,demand_variability,safety_stock,stockout
76,28,0.293,446.74,1
77,13,0.164,127.36,0
78,45,0.484,166.54,0
79,41,0.262,318.41,1
80,51,0.419,498.17,1
81,36,0.366,476.01,1
82,24,0.258,50.47,0
83,9,0.405,252.27,0
84,58,0.458,460.17,1
85,38,0.442,142.25,0
86,5,0.134,81.98,0
87,25,0.053,203.2,0
88,48,0.388,101.98,0
89,18,0.389,423.43,1
90,8,0.491,213.33,0
91,41,0.42,403.66,1
92,2,0.062,76.04,0
93,42,0.009,51.56,0
94,55,0.207,210.14,0
95,12,0.292,95.34,0
96,21,0.04,205.05,0
97,59,0.329,118.73,0
98,15,0.29,222.6,0
99,9,0.493,210.3,0
100,17,0.06,356.63,1
101,42,0.156,428.35,1
102,35,0.325,341.47,1
103,43,0.278,433.91,1
104,46,0.235,249.9,0
105,44,0.036,250.34,0
106,42,0.257,419.74,1
107,36,0.109,427.65,1
108,33,0.433,135.11,0
109,2,0.001,55.51,0
110,32,0.246,401.31,1
111,53,0.222,440.57,1
112,52,0.235,116.46,0
113,40,0.001,53.96,0
114,14,0.412,200.19,0
115,38,0.281,195.09,0
116,39,0.124,321.74,1
117,37,0.075,357.8,1
118,52,0.292,50.81,0
119,43,0.243,401.89,1
120,18,0.116,120.62,0
121,26,0.128,461.56,1
122,44,0.458,113.67,0
123,41,0.065,24.43,0
124,48,0.129,155.16,0
125,7,0.051,302.79,1
126,30,0.179,468.56,1
127,41,0.458,321.91,1
128,29,0.271,441.67,1
129,34,0.129,13.62,0
130,45,0.131,437.87,1
131,11,0.107,156.3,0
132,2,0.013,289.07,0
133,7,0.349,351.65,1
134,39,0.377,193.1,0
135,55,0.379,262.84,1
136,51,0.458,149.59,0
137,7,0.462,327.36,1
138,51,0.129,23.41,0
139,1,0.338,328.05,1
140,17,0.104,143.28,0
141,23,0.259,208.87,0
142,30,0.062,240.93,0
143,23,0.266,461.35,1
144,44,0.244,446.85,1
145,5,0.134,414.03,1
146,27,0.336,198.52,0
147,25,0.4,85.14,0
148,17,0.401,437.63,1
149,25,0.013,46.31,0
150,53,0.39,198.83,0
151,32,0.249,87.16,0
152,59,0.35,102.64,0
153,9,0.268,454.59,1
154,39,0.286,440.48,1
155,46,0.121,156.78,0
156,34,0.134,188.0,0
157,16,0.099,135.48,0
158,45,0.231,338.65,1
159,50,0.425,454.99,1
160,48,0.01,497.99,1
161,4,0.482,253.97,0
162,53,0.418,412.44,1
163,23,0.337,77.16,0
164,24,0.229,341.98,1
165,10,0.331,398.84,1
166,38,0.208,264.5,0
167,30,0.41,343.57,1
168,45,0.37,298.08,1
169,50,0.497,253.45,0
170,57,0.049,247.23,0
171,10,0.187,140.87,0
172,31,0.141,359.29,1
173,54,0.371,373.98,1
174,46,0.171,175.09,0
175,20,0.021,303.96,1
176,12,0.064,175.64,0
177,49,0.473,315.14,1
178,54,0.333,46.48,0
179,31,0.347,268.0,0
180,36,0.468,27.55,0
181,2,0.411,163.94,0
182,34,0.367,254.88,0
183,1,0.434,342.81,1
184,30,0.217,156.68,0
185,31,0.392,138.7,0
186,48,0.372,473.58,1
187,58,0.047,190.12,0
188,32,0.299,127.51,0
189,49,0.401,40.92,0
190,44,0.206,183.12,0
191,8,0.085,443.24,1
192,49,0.446,424.42,1
193,6,0.137,273.93,0
194,38,0.303,205.28,0
195,36,0.041,210.46,0
196,35,0.17,29.38,0
197,16,0.264,363.29,1
198,38,0.226,194.79,0
199,3,0.315,204.17,0
200,41,0.191,273.32,1
201,8,0.423,68.74,0
202,56,0.436,262.33,1
203,43,0.16,499.57,1
204,11,0.424,92.39,0
205,16,0.373,379.01,1
206,15,0.352,340.59,1
207,39,0.305,413.74,1
208,38,0.032,172.18,0
209,42,0.156,104.5,0
210,26,0.475,473.06,1
211,10,0.011,322.92,1
212,45,0.486,381.09,1
213,18,0.405,264.55,0
214,55,0.04,304.89,1
215,17,0.36,465.94,1
216,37,0.42,367.32,1
217,46,0.327,304.9,1
218,18,0.123,386.22,1
219,47,0.109,14.64,0
220,53,0.381,154.33,0
221,41,0.021,192.3,0
222,36,0.142,478.66,1
223,52,0.471,112.89,0
224,39,0.139,405.06,1
225,17,0.118,225.67,0
226,6,0.331,308.55,1
227,29,0.493,123.4,0
228,30,0.427,437.22,1
229,35,0.453,492.81,1
230,39,0.41,224.8,0
231,30,0.42,142.58,0
232,11,0.01,281.9,0
233,14,0.128,29.27,0
234,19,0.164,79.14,0
235,37,0.434,63.48,0
236,51,0.321,434.64,1
237,41,0.153,182.96,0
238,12,0.264,400.29,1
239,9,0.234,288.64,0
240,2,0.287,17.19,0
241,53,0.036,315.58,1
242,34,0.47,191.27,0
243,34,0.439,166.12,0
244,34,0.027,403.09,1
245,57,0.046,56.12,0
246,41,0.275,359.02,1
247,56,0.368,65.74,0
248,53,0.412,151.22,0
249,57,0.117,480.95,1
250,15,0.052,215.36,0
251,23,0.075,97.11,0
252,49,0.024,354.61,1
253,55,0.298,396.86,1
254,32,0.062,145.87,0
255,50,0.368,216.95,0
256,54,0.483,62.13,0
257,22,0.359,369.86,1
258,57,0.214,499.83,1
259,24,0.207,465.11,1
260,7,0.033,323.64,1
261,53,0.302,471.28,1
262,8,0.069,431.16,1
263,1,0.183,18.39,0
264,40,0.444,293.05,1
265,10,0.011,281.04,0
266,50,0.025,436.12,1
267,46,0.068,366.54,1
268,44,0.283,221.11,0
269,39,0.102,383.19,1
270,4,0.48,145.3,0
271,33,0.209,356.54,1
272,41,0.442,242.29,0
273,38,0.235,43.3,0
274,20,0.051,435.7,1
275,12,0.486,46.11,0
276,14,0.482,191.53,0
277,17,0.282,76.79,0
278,39,0.117,147.02,0
279,27,0.372,193.72,0
280,15,0.154,140.22,0
281,37,0.059,457.8,1
282,32,0.186,440.98,1
283,10,0.185,227.75,0
284,44,0.337,341.29,1
285,50,0.093,107.74,0
286,53,0.3,117.15,0
287,26,0.337,340.94,1
288,23,0.214,449.28,1
289,19,0.181,202.01,0
290,1,0.428,233.82,0
291,11,0.243,433.93,1
292,3,0.184,331.48,1
293,32,0.158,467.02,1
294,40,0.284,417.24,1
295,42,0.204,107.31,0
296,38,0.03,223.0,0
297,59,0.136,312.31,1
298,43,0.083,467.0,1
299,16,0.338,11.36,0
300,49,0.275,470.84,1
301,51,0.043,64.33,0
302,22,0.083,366.38,1
303,49,0.258,441.62,1
304,1,0.49,431.86,1
305,15,0.282,471.42,1
306,48,0.093,140.14,0
307,31,0.335,392.46,1
308,20,0.236,341.19,1
309,7,0.397,46.3,0
310,3,0.201,456.76,1
311,59,0.39,393.88,1
312,6,0.414,493.33,1
313,54,0.352,113.13,0
314,40,0.116,24.26,0
315,14,0.324,267.7,0
316,43,0.144,217.44,0
317,26,0.195,252.45,0
318,22,0.015,230.27,0
319,9,0.429,166.66,0
320,57,0.081,408.35,1
321,15,0.216,358.55,1
322,37,0.376,59.77,0
323,5,0.265,313.81,1
324,24,0.078,111.99,0
325,18,0.425,381.33,1
326,47,0.021,348.12,1
327,45,0.466,383.26,1
328,35,0.404,216.16,0
329,50,0.164,232.2,0
330,32,0.39,353.34,1
331,5,0.019,494.15,1
332,41,0.446,47.28,0
333,49,0.498,99.35,0
334,23,0.096,44.51,0
335,30,0.313,368.65,1
336,28,0.032,298.27,1
337,58,0.3,358.95,1
338,41,0.009,257.95,0
339,31,0.323,156.65,0
340,7,0.053,403.5,1
341,17,0.324,13.42,0
342,8,0.484,253.14,0
343,39,0.088,98.16,0
344,36,0.467,311.04,1
345,39,0.206,294.05,1
346,21,0.208,15.38,0
347,18,0.015,150.68,0
348,27,0.055,326.19,1
349,9,0.447,311.68,1
350,8,0.091,387.52,1
351,15,0.172,385.45,1
352,37,0.338,310.88,1
353,44,0.464,454.82,1
354,32,0.145,482.43,1
355,28,0.41,276.69,0
356,21,0.198,204.26,0
357,36,0.21,290.08,1
358,58,0.427,163.92,0
359,2,0.418,363.7,1
360,24,0.051,477.66,1
361,13,0.178,459.89,1
362,29,0.296,43.84,0
363,5,0.231,123.31,0
364,30,0.361,382.38,1
365,48,0.343,404.38,1
366,56,0.245,128.49,0
367,30,0.006,405.4,1
368,45,0.193,218.69,0
369,25,0.221,196.12,0
370,39,0.123,75.73,0
371,37,0.088,103.36,0
372,28,0.413,39.96,0
373,48,0.361,205.04,0
374,46,0.018,288.73,1
375,50,0.177,51.67,0
376,33,0.438,69.8,0
377,57,0.176,210.89,0
378,13,0.274,103.33,0
379,1,0.24,477.81,1
380,53,0.396,347.95,1
381,27,0.139,177.16,0
382,50,0.235,142.15,0
383,35,0.198,380.71,1
384,11,0.185,83.66,0
385,19,0.224,459.34,1
386,32,0.096,374.56,1
387,28,0.371,68.5,0
388,30,0.452,333.68,1
389,38,0.247,77.01,0
390,3,0.129,119.94,0
391,17,0.03,374.93,1
392,49,0.318,79.57,0
393,36,0.304,83.72,0
394,44,0.441,315.2,1
395,51,0.404,480.51,1
396,57,0.368,368.64,1
397,34,0.288,353.33,1
398,51,0.142,458.69,1
399,23,0.409,335.85,1
400,1,0.114,373.66,1
401,6,0.466,266.41,0
402,33,0.289,493.24,1
403,11,0.441,230.05,0
404,6,0.392,204.4,0
405,2,0.019,342.62,1
406,42,0.43,212.18,0
407,35,0.324,258.65,0
408,58,0.473,76.6,0
409,25,0.364,171.19,0
410,40,0.005,415.11,1
411,51,0.253,326.6,1
412,40,0.022,368.33,1
413,8,0.128,444.14,1
414,26,0.089,192.23,0
415,53,0.286,205.57,0
416,27,0.439,104.15,0
417,2,0.19,124.76,0
418,48,0.398,432.04,1
419,49,0.015,79.47,0
420,22,0.462,254.33,0
421,25,0.132,164.33,0
422,29,0.427,408.58,1
423,10,0.4,166.26,0
424,32,0.11,203.92,0
425,31,0.492,153.94,0
426,24,0.001,217.59,0
427,32,0.058,147.49,0
428,54,0.445,469.37,1
429,49,0.351,483.83,1
430,8,0.082,393.15,1
431,25,0.228,432.76,1
432,49,0.377,431.14,1
433,59,0.139,343.21,1
434,26,0.432,341.12,1
435,18,0.207,97.64,0
436,4,0.355,40.92,0
437,43,0.021,170.27,0
438,15,0.027,124.89,0
439,34,0.176,206.75,0
440,32,0.166,391.98,1
441,18,0.23,216.26,0
442,38,0.385,245.37,0
443,37,0.141,189.67,0
444,11,0.366,151.06,0
445,19,0.188,334.11,1
446,13,0.038,394.46,1
447,48,0.157,217.34,0
448,5,0.37,383.81,1
449,47,0.172,261.15,1
450,39,0.2,433.41,1
451,16,0.116,267.55,0
452,14,0.185,198.16,0
453,32,0.243,114.76,0
454,11,0.169,240.38,0
455,24,0.165,188.79,0
456,38,0.013,59.87,0
457,14,0.302,447.59,1
458,35,0.229,72.56,0
459,51,0.424,29.64,0
460,27,0.415,12.38,0
461,12,0.098,54.3,0
462,49,0.354,485.41,1
463,5,0.276,432.0,1
464,36,0.091,181.37,0
465,3,0.313,21.45,0
466,24,0.305,36.01,0
467,34,0.391,11.98,0
468,22,0.046,498.38,1
469,22,0.474,274.86,0
470,47,0.335,468.48,1
471,51,0.053,184.78,0
472,17,0.279,348.43,1
473,44,0.217,130.01,0
474,25,0.26,75.31,0
475,33,0.346,118.0,0
476,16,0.153,53.89,0
477,15,0.365,46.16,0
478,8,0.445,316.14,1
479,47,0.045,258.43,0
480,40,0.096,398.57,1
481,34,0.348,93.76,0
482,17,0.198,270.77,0
483,38,0.161,209.23,0
484,10,0.129,484.95,1
485,17,0.453,74.85,0
486,47,0.054,80.04,0
487,24,0.244,210.09,0
488,18,0.205,232.56,0
489,42,0.248,149.83,0
490,48,0.147,106.89,0
491,8,0.104,235.38,0
492,14,0.136,153.93,0
493,29,0.492,482.05,1
494,19,0.212,40.75,0
495,12,0.206,233.42,0
496,39,0.118,180.61,0
497,27,0.29,209.21,0
498,25,0.441,406.59,1
499,32,0.463,71.46,0
500,5,0.298,64.62,0
501,39,0.111,437.28,1
502,38,0.354,335.39,1
503,45,0.431,303.34,1
504,32,0.472,278.18,1
505,3,0.064,85.57,0
506,16,0.481,161.73,0
507,47,0.174,25.09,0
508,41,0.025,303.43,1
509,1,0.024,294.91,0
510,44,0.07,41.09,0
511,18,0.192,306.83,1
512,20,0.452,210.63,0
513,54,0.489,477.53,1
514,8,0.446,34.52,0
515,24,0.364,446.5,1
516,25,0.002,497.65,1
517,32,0.189,37.35,0
518,52,0.479,419.3,1
519,30,0.111,16.02,0
520,6,0.109,213.88,0
521,48,0.233,121.86,0
522,58,0.405,133.21,0
523,50,0.25,367.21,1
524,4,0.407,262.66,0
525,58,0.022,60.92,0
526,33,0.029,432.96,1
527,22,0.403,338.1,1
528,55,0.441,222.99,0
529,59,0.423,112.89,0
530,40,0.166,163.42,0
531,48,0.211,61.17,0
532,56,0.491,322.88,1
533,13,0.312,258.5,0
534,40,0.313,14.33,0
535,57,0.424,447.32,1
536,47,0.314,217.37,0
537,6,0.252,270.75,0
538,45,0.137,383.7,1
539,50,0.236,349.94,1
540,49,0.322,239.1,0
541,38,0.277,483.23,1
542,11,0.431,135.32,0
543,22,0.256,473.96,1
544,27,0.083,210.96,0
545,42,0.012,12.31,0
546,25,0.35,73.44,0
547,4,0.282,47.97,0
548,18,0.113,313.06,1
549,35,0.281,33.7,0
550,54,0.425,83.52,0
551,14,0.433,74.83,0
552,40,0.23,450.13,1
553,35,0.388,273.95,1
554,19,0.388,135.86,0
555,8,0.359,380.5,1
556,5,0.038,301.76,1
557,44,0.053,78.0,0
558,35,0.449,314.36,1
559,27,0.386,156.36,0
560,28,0.491,249.36,0
561,3,0.148,382.26,1
562,41,0.161,378.88,1
563,30,0.293,152.03,0
564,17,0.322,53.1,0
565,19,0.335,218.01,0
566,32,0.39,247.21,0
567,30,0.211,359.64,1
568,53,0.192,65.69,0
569,35,0.49,274.23,1
570,14,0.177,341.88,1
571,13,0.068,332.26,1
572,45,0.299,219.8,0
573,37,0.088,438.48,1
574,8,0.244,44.77,0
575,51,0.034,266.47,1
576,57,0.498,394.92,1
577,22,0.44,173.88,0
578,35,0.126,464.85,1
579,47,0.232,227.96,0
580,39,0.483,84.58,0
581,45,0.483,155.5,0
582,25,0.237,107.11,0
583,51,0.289,55.17,0
584,12,0.223,442.44,1
585,33,0.145,30.42,0
586,18,0.074,27.08,0
587,29,0.225,112.11,0
588,53,0.136,11.32,0
589,26,0.163,309.34,1
590,51,0.081,465.11,1
591,36,0.2,209.12,0
592,1,0.376,88.59,0
593,11,0.232,278.18,0
594,57,0.299,127.49,0
595,21,0.357,79.18,0
596,23,0.494,99.16,0
597,5,0.285,27.45,0
598,45,0.397,185.01,0
599,35,0.1,342.14,1
600,2,0.364,399.3,1
601,1,0.008,213.95,0
602,57,0.458,95.1,0
603,3,0.029,491.73,1
604,12,0.451,413.9,1
605,10,0.136,14.99,0
606,39,0.187,193.13,0
607,10,0.165,21.63,0
608,43,0.266,21.57,0
609,40,0.271,426.44,1
610,41,0.061,113.58,0
611,35,0.266,273.06,1
612,25,0.273,291.79,1
613,44,0.059,358.89,1
614,52,0.295,13.88,0
615,27,0.065,448.44,1
616,11,0.246,263.11,0
617,33,0.432,37.17,0
618,45,0.317,257.38,0
619,37,0.109,57.43,0
620,24,0.498,274.68,0
621,55,0.345,208.44,0
622,45,0.256,164.33,0
623,23,0.48,389.39,1
624,42,0.227,71.97,0
625,52,0.201,48.7,0
626,8,0.256,452.96,1
627,41,0.005,43.69,0
628,53,0.287,42.31,0
629,6,0.246,198.89,0
630,6,0.374,402.99,1
631,51,0.344,67.62,0
632,27,0.294,447.23,1
633,10,0.07,428.36,1
634,6,0.377,93.05,0
635,25,0.299,13.28,0
636,19,0.384,128.98,0
637,17,0.478,415.04,1
638,21,0.157,285.61,1
639,7,0.284,11.38,0
640,34,0.079,110.32,0
641,7,0.011,470.66,1
642,21,0.078,425.6,1
643,30,0.315,430.53,1
644,15,0.008,435.13,1
645,2,0.099,45.13,0
646,50,0.131,109.25,0
647,34,0.057,387.35,1
648,29,0.445,237.37,0
649,35,0.389,84.4,0
650,35,0.376,485.9,1
651,19,0.297,194.43,0
652,35,0.103,492.46,1
653,10,0.24,247.2,0
654,18,0.242,484.95,1
655,13,0.196,32.88,0
656,5,0.237,181.82,0
657,11,0.103,255.63,0
658,49,0.06,132.05,0
659,26,0.031,280.5,0
660,53,0.009,400.47,1
661,32,0.006,384.04,1
662,26,0.277,146.93,0
663,13,0.186,81.73,0
664,11,0.024,255.24,0
665,24,0.425,142.63,0
666,46,0.409,144.8,0
667,49,0.36,499.12,1
668,36,0.166,473.26,1
669,13,0.452,350.86,1
670,1,0.032,296.38,0
671,27,0.018,185.94,0
672,26,0.164,202.74,0
673,32,0.025,316.75,1
674,30,0.301,78.98,0
675,36,0.243,107.62,0
676,54,0.033,243.97,0
677,3,0.112,150.58,0
678,59,0.16,228.43,0
679,9,0.337,428.52,1
680,25,0.065,270.72,0
681,46,0.017,499.92,1
682,17,0.034,346.17,1
683,34,0.437,159.26,0
684,18,0.351,435.8,1
685,13,0.486,460.2,1
686,47,0.191,455.11,1
687,57,0.283,179.49,0
688,50,0.454,175.56,0
689,2,0.328,367.47,1
690,1,0.061,36.67,0
691,21,0.346,378.39,1
692,47,0.094,253.38,0
693,40,0.106,159.21,0
694,42,0.278,31.77,0
695,41,0.38,468.99,1
696,54,0.391,287.4,1
697,16,0.445,311.84,1
698,4,0.378,423.8,1
699,7,0.416,75.14,0
700,8,0.327,180.37,0
701,13,0.333,253.55,0
702,56,0.478,24.52,0
703,1,0.348,454.14,1
704,16,0.446,450.77,1
705,17,0.413,336.86,1
706,56,0.303,273.94,1
707,22,0.093,82.99,0
708,26,0.216,171.79,0
709,46,0.355,461.77,1
710,41,0.061,283.77,1
711,54,0.385,241.91,0
712,2,0.309,474.84,1
713,23,0.425,338.22,1
714,4,0.363,454.69,1
715,30,0.34,442.67,1
716,8,0.261,184.46,0
717,20,0.407,129.65,0
718,28,0.181,367.82,1
719,41,0.178,499.13,1
720,31,0.107,100.37,0
721,25,0.019,163.71,0
722,11,0.343,307.18,1
723,39,0.478,436.93,1
724,47,0.285,422.78,1
725,56,0.22,326.23,1
726,49,0.302,192.5,0
727,12,0.211,30.25,0
728,30,0.483,255.01,0
729,4,0.302,220.07,0
730,15,0.106,193.88,0
731,14,0.453,491.29,1
732,15,0.142,320.51,1
733,55,0.338,75.75,0
734,15,0.043,265.31,0
735,15,0.141,281.4,0
736,41,0.142,64.45,0
737,43,0.06,22.54,0
738,51,0.395,159.64,0
739,45,0.18,35.29,0
740,41,0.378,82.89,0
741,46,0.349,323.78,1
742,40,0.044,287.88,1
743,31,0.443,386.11,1
744,9,0.393,248.63,0
745,24,0.358,395.7,1
746,4,0.121,326.51,1
747,14,0.415,47.16,0
748,25,0.252,462.14,1
749,27,0.019,34.83,0
750,3,0.282,401.97,1
751,35,0.387,407.66,1
752,38,0.078,148.4,0
753,13,0.481,257.54,0
754,39,0.025,128.07,0
755,43,0.035,297.39,1
756,49,0.176,103.82,0
757,28,0.371,387.12,1
758,12,0.102,170.58,0
759,38,0.422,120.42,0
760,26,0.38,363.78,1
761,46,0.136,350.86,1
762,57,0.463,480.9,1
763,2,0.185,198.57,0
764,40,0.146,36.26,0
765,40,0.431,349.14,1
766,3,0.304,414.44,1
767,12,0.105,343.02,1
768,16,0.348,225.26,0
769,14,0.178,369.34,1
770,51,0.309,483.58,1
771,33,0.43,61.84,0
772,5,0.41,479.11,1
773,22,0.205,136.77,0
774,9,0.072,162.3,0
775,26,0.206,176.99,0
776,41,0.152,470.4,1
777,57,0.188,481.33,1
778,45,0.135,461.75,1
779,56,0.488,180.92,0
780,56,0.269,303.85,1
781,16,0.266,72.67,0
782,12,0.186,137.33,0
783,7,0.395,72.17,0
784,38,0.233,366.3,1
785,47,0.38,407.42,1
786,40,0.038,453.69,1
787,5,0.154,159.39,0
788,4,0.069,114.24,0
789,20,0.471,215.48,0
790,21,0.08,100.52,0
791,5,0.132,33.1,0
792,58,0.082,207.72,0
793,17,0.257,377.75,1
794,54,0.491,247.81,0
795,32,0.463,344.0,1
796,4,0.447,470.74,1
797,18,0.241,19.76,0
798,30,0.456,25.79,0
799,52,0.056,415.13,1
800,20,0.339,105.89,0
801,59,0.035,449.33,1
802,31,0.322,65.24,0
803,12,0.094,174.3,0
804,51,0.066,50.56,0
805,8,0.157,354.1,1
806,3,0.234,462.92,1
807,23,0.389,151.3,0
808,28,0.177,435.03,1
809,39,0.475,50.57,0
810,15,0.374,114.95,0
811,6,0.107,321.22,1
812,40,0.237,284.32,1
813,56,0.153,340.07,1
814,39,0.133,105.09,0
815,52,0.327,138.28,0
816,26,0.476,65.48,0
817,27,0.193,365.37,1
818,33,0.263,412.22,1
819,51,0.429,157.35,0
820,59,0.179,271.83,1
821,3,0.402,131.26,0
822,53,0.028,23.18,0
823,35,0.039,190.06,0
824,8,0.009,264.01,0
825,20,0.341,310.15,1
826,5,0.331,161.5,0
827,9,0.066,326.03,1
828,40,0.287,474.38,1
829,10,0.069,452.17,1
830,18,0.493,455.84,1
831,21,0.174,423.4,1
832,15,0.305,463.23,1
833,48,0.091,377.35,1
834,56,0.481,398.1,1
835,45,0.362,294.87,1
836,25,0.476,109.01,0
837,4,0.445,314.62,1
838,6,0.147,36.96,0
839,39,0.439,344.25,1
840,22,0.229,483.41,1
841,31,0.077,482.36,1
842,37,0.153,159.98,0
843,1,0.133,484.1,1
844,7,0.348,154.62,0
845,24,0.112,42.55,0
846,45,0.403,286.99,1
847,16,0.143,193.28,0
848,10,0.482,18.51,0
849,32,0.099,250.22,0
850,54,0.103,128.18,0
851,48,0.006,168.6,0
852,22,0.108,412.89,1
853,30,0.029,380.78,1
854,35,0.373,345.07,1
855,38,0.202,52.15,0
856,11,0.339,134.15,0
857,15,0.186,273.7,0
858,17,0.09,268.42,0
859,3,0.278,177.0,0
860,12,0.493,233.88,0
861,43,0.128,13.76,0
862,36,0.091,493.67,1
863,22,0.386,420.57,1
864,17,0.488,201.77,0
865,23,0.46,326.14,1
866,23,0.152,413.43,1
867,6,0.252,143.25,0
868,47,0.383,119.99,0
869,19,0.361,408.02,1
870,27,0.364,351.43,1
871,16,0.028,246.11,0
872,23,0.29,52.02,0
873,13,0.437,453.23,1
874,52,0.375,114.43,0
875,2,0.027,355.38,1
876,14,0.364,256.24,0
877,31,0.178,30.66,0
878,25,0.047,494.94,1
879,15,0.49,102.27,0
880,45,0.286,331.3,1
881,12,0.451,477.94,1
882,26,0.342,353.65,1
883,14,0.447,220.99,0
884,12,0.019,265.56,0
885,42,0.285,222.28,0
886,10,0.171,385.19,1
887,46,0.056,361.26,1
888,26,0.496,427.71,1
889,57,0.065,33.09,0
890,6,0.339,152.2,0
891,5,0.069,203.24,0
892,26,0.115,135.75,0
893,4,0.025,132.22,0
894,21,0.462,56.39,0
895,18,0.31,299.38,1
896,26,0.071,275.52,0
897,18,0.367,11.15,0
898,47,0.07,469.92,1
899,23,0.428,71.84,0
900,42,0.041,100.63,0
901,15,0.297,425.91,1
902,36,0.004,40.04,0
903,11,0.082,45.28,0
904,30,0.233,389.51,1
905,12,0.163,75.08,0
906,6,0.384,288.49,0
907,4,0.102,146.86,0
908,26,0.289,301.45,1
909,55,0.065,140.15,0
910,29,0.017,403.11,1
911,47,0.128,170.11,0
912,25,0.457,436.91,1
913,35,0.114,445.83,1
914,30,0.278,176.55,0
915,23,0.118,73.95,0
916,10,0.052,186.06,0
917,55,0.164,264.25,1
918,40,0.27,484.38,1
919,51,0.197,406.29,1
920,41,0.495,426.07,1
921,2,0.19,120.16,0
922,55,0.199,112.44,0
923,18,0.48,213.47,0
924,9,0.203,26.38,0
925,9,0.261,68.01,0
926,56,0.084,416.3,1
927,43,0.325,288.56,1
928,41,0.458,461.47,1
929,59,0.239,400.59,1
930,3,0.337,311.21,1
931,42,0.334,443.76,1
932,1,0.38,120.49,0
933,39,0.209,329.2,1
934,11,0.172,27.72,0
935,43,0.433,38.17,0
936,36,0.282,177.93,0
937,41,0.177,189.06,0
938,28,0.138,424.32,1
939,7,0.294,422.05,1
940,27,0.462,380.81,1
941,9,0.03,320.28,1
942,23,0.333,334.66,1
943,39,0.048,304.84,1
944,9,0.323,154.45,0
945,37,0.477,299.52,1
946,28,0.404,360.39,1
947,27,0.415,475.61,1
948,29,0.273,63.0,0
949,6,0.12,441.76,1
950,2,0.269,92.54,0
951,54,0.168,479.18,1
952,30,0.498,466.09,1
953,38,0.076,303.79,1
954,30,0.377,335.51,1
955,34,0.203,450.51,1
956,53,0.237,209.22,0
957,2,0.209,327.28,1
958,30,0.137,41.53,0
959,14,0.495,365.92,1
960,13,0.201,410.19,1
961,9,0.099,394.15,1
962,57,0.44,431.33,1
963,28,0.167,353.37,1
964,48,0.287,146.38,0
965,5,0.058,320.84,1
966,25,0.047,34.52,0
967,18,0.024,400.23,1
968,1,0.4,261.34,0
969,37,0.236,402.98,1
970,14,0.124,222.08,0
971,15,0.491,175.95,0
972,13,0.11,265.49,0
973,6,0.221,320.8,1
974,54,0.306,311.8,1
975,13,0.376,401.44,1
976,42,0.009,292.03,1
977,6,0.168,28.92,0
978,14,0.29,16.53,0
979,35,0.221,38.1,0
980,42,0.188,230.8,0
981,8,0.021,213.96,0
982,19,0.338,132.49,0
983,41,0.395,113.23,0
984,48,0.363,120.98,0
985,11,0.065,199.23,0
986,53,0.219,386.36,1
987,18,0.486,436.54,1
988,31,0.071,179.98,0
989,4,0.318,227.76,0
990,24,0.067,157.44,0
991,40,0.151,280.97,1
992,49,0.027,105.89,0
993,29,0.123,495.94,1
994,27,0.421,334.75,1
995,54,0.396,469.79,1
996,32,0.438,260.16,0
